# strongs	hebrew	transliteration
0192	אֱוִיל	<A CLASS="u">&#x05DE;&#x05B0;&#x05E8;&#x05B9;&#x05D3;&#x05B7;&#x05DA;&#x05B0;</A> 'Eviyl M@rodak
0193	אוּל	'uwl
0194	אוּלַי	'uwlay
0195	אוּלַי	'Uwlay
0196	אֱוִלִי	'eviliy
0197	אוּלָם	'uwlam
0198	אוּלָם	'Uwlam
0199	אוּלָם	'uwlam
0200	אִוֶּלֶת	'ivveleth
0201	אוֹמָר	'Owmar
0202	אוֹן	'own
0203	אוֹן	'Own
0204	אוֹן	'Own
0205	אָוֶן	'aven
0206	אָוֶן	'Aven
0207	אוֹנוֹ	'Ownow
0208	אוֹנָם	'Ownam
0209	אוֹנָן	'Ownan
0210	אוּפָז	'Uwphaz
0211	אוֹפִיר	'Owphiyr
0212	אוֹפָן	'owphan
0213	אוץ	'uwts
0214	אוֹצָר	'owtsar
0215	אוֹר	'owr
0216	אוֹר	'owr
0217	אוּר	'uwr
0218	אוּר	'Uwr
0219	אוֹרָה	'owrah
0220	אֲוֵרָה	'averah
0221	אוּרִי	'Uwriy
0222	אוּרִיאֵל	'Uwriy'el
0223	אוּרִיָּהוּ	'Uwriyah
0224	אוּרִים	'Uwriym
0225	אוּת	'uwth
0226	אוֹת	'owth
0227	אָז	'az
0228	אַזָא	'aza'
0229	אֶזְבָּי	'Ezbay
0230	אַזָד	'azad
0231	אֵזוֹב	'ezowb
0232	אֵזוֹר	'ezowr
0233	אֲזַי	'azay
0234	אַזְכָּרָה	'azkarah
0235	אוּזָּל	'azal
0236	אזל	'azal
0237	אֶזֶל	'ezel
0238	אָזַן	'azan
0239	אזן	'azan
0240	אָזֵן	'azen
0241	אֹזֶן	'ozen
0242	אֻזֵּן	<A CLASS="u">&#x05E9;&#x05C1;&#x05B6;&#x05D0;&#x05B1;&#x05E8;&#x05B8;&#x05D4;</A> 'Uzzen She'erah
0243	אַזְנוֹת	<A CLASS="u">&#x05EA;&#x05BC;&#x05B8;&#x05D1;&#xFB4B;&#x05E8;</A> 'Aznowth Tabowr
0244	אָזְנִי	'Ozniy
0245	אֲזַנְיָה	'Azanyah
0246	אֲזִקִּים	'aziqqiym
0247	אָזַר	'azar
0248	אֶזְרוֹעַ	'ezrowa`
0249	אֶזְרָח	'ezrach
0250	אֶזְרָחִי	'Ezrachiy
0251	אָח	'ach
0252	אַח	'ach
0253	אָח	'ach
0254	אָח	'ach
0255	אֹחַ	'oach
0256	אַחְאָב	'Ach'ab
0257	אַחְבָּן	'Achban
0258	אָחַד	'achad
0259	אֶחָד	'echad
0260	אָחוּ	'achuw
0261	אֵחוּד	'Echuwd
0262	אַחְוָה	'achvah
0263	אַחֲוָיָה	'achavah
0264	אַחֲוָה	'achavah
0265	אֲחוֹחַ	'Achowach
0266	אֲחוֹחִי	'Achowchiy
0267	אֲחוּמַי	'Achuwmay
0268	אָחוֹר	'achowr
0269	אָחוֹת	'achowth
0270	אָחַז	'achaz
0271	אָחָז	'Achaz
0272	אֲחֻזָּה	'achuzzah
0273	אַחֲזַי	'Achzay
0274	אֲחַזְיָהוּ	'Achazyah
0275	אֲחֻזָּם	'Achuzzam
0276	אֲחֻזַּת	'Achuzzath
0277	אֲחִי	'Achiy
0278	אֵחִי	'Echiy
0279	אֲחִיאָם	'Achiyam
0280	אֲחִידָה	'achiydah
0281	אֲחִיָּהוּ	'Achiyah
0282	אֲחִיהוּד	'Achiyhuwd
0283	אַחְיוֹ	'Achyow
0284	אֲחִיחֻד	'Achiychud
0285	אֲחִיטוּב	'Achiytuwb
0286	אֲחִילוּד	'Achiyluwd
0287	אֲחִימוֹת	'Achiymowth
0288	אֲחִימֶלֶךְ	'Achiymelek
0289	אֲחִימַן	'Achiyman
0290	אֲחִימַעַץ	'Achiyma`ats
0291	אַחְיָן	'Achyan
0292	אֲחִינָדָב	'Achiynadab
0293	אֲחִינֹעַם	'Achiyno`am
0294	אֲחִיסָמָךְ	'Achiycamak
0295	אֲחִיעֶזֶר	'Achiy`ezer
0296	אֲחִיקָם	'Achiyqam
0297	אֲחִירָם	'Achiyram
0298	אֲחִירָמִי	'Achiyramiy
0299	אֲחִירַע	'Achiyra`
0300	אֲחִישָׁחַר	'Achiyshachar
0301	אֲחִישָׁר	'Achiyshar
0302	אֲחִיתֹפֶל	'Achiythophel
0303	אַחְלָב	'Achlab
0304	אַחְלָי	'Achlay
0305	אַחֲלַי	'achalay
0306	אַחְלָמָה	'achlamah
0307	אַחְמְתָא	'Achm@tha'
0308	אֲחַסְבַּי	'Achacbay
0309	אָחַר	'achar
0310	אַחַר	'achar
0311	אַחַר	'achar
0312	אַחֵר	'acher
0313	אַחֵר	'Acher
0314	אַחֲרוֹן	'acharown
0315	אַחְרַח	'Achrach
0316	אֲחַרְחֵל	'Acharchel
0317	אָחֳרִי	'ochoriy
0318	אָחֳרֵין	'ochoreyn
0319	אַחֲרִית	'achariyth
0320	אַחֲרִית	'achariyth
0321	ָאָחֳרָן	'ochoran
0322	אֲחֹרַנִּית	'achoranniyth
0323	אֲחַשְׁדַּרְפַּן	'achashdarpan
0324	אֲחַשְׁדַּרְפַּן	'achashdarpan
0325	אֲחַשְׁוֵרוֹשׁ	'Achashverowsh
0326	אֲחַשְׁתָּרִי	'achashtariy
0327	אֲחַשְׁתְּרָן	'achastaran
0328	אַט	'at
0329	אָטָד	'atad
0330	אֵטוּן	'etuwn
0331	אָטַם	'atam
0332	אָטַר	'atar
0333	אָטֵר	'Ater
0334	אִטֵּר	'itter
0335	אֵי	'ay
0336	אִי	'iy
0337	אִי	'iy
0338	אִי	'iy
0339	אִי	'iy
0340	אָיַב	'ayab
0341	אֹיֵב	'oyeb
0342	אֵיבָה	'eybah
0343	אֵיד	'eyd
0344	אַיָּה	'ayah
0345	אַיָּה	'Ayah
0346	אַיֵּה	'ayeh
0347	אִיּוֹב	'Iyowb
0348	אִיזֶבֶל	'Iyzebel
0349	אֵיךְ	'eyk
0350	אִיכָבוֹד	'Iy-kabowd
0351	אֵיכֹה	'eykoh
0352	אַיִל	'ayil
0353	אֱיָל	'eyal
0354	אַיָּל	'ayal
0355	אַיָּלָה	'ayalah
0356	אֵילוֹן	'Eylown
0357	אַיָּלוֹן	'Ayalown
0358	אֵילוֹן	<A CLASS="u">&#x05D1;&#x05BC;&#x05B5;&#x05D9;&#x05EA;</A> <A CLASS="u">&#x05D7;&#x05B8;&#x05E0;&#x05B8;&#x05DF;</A> 'Eylown Beyth Chanan
0359	אֵילוֹת	'Eylowth
0360	אֱיָלוּת	'eyaluwth
0361	אֵילָם	'eylam
0362	אֵילִם	'Eylim
0363	אִילָן	'iylan
0364	אֵיל	<A CLASS="u">&#x05E4;&#x05BC;&#x05B8;&#x05D0;&#x05E8;&#x05B8;&#x05DF;</A> 'Eyl Pa'ran
0365	אַיֶּלֶת	'ayeleth
0366	אָיֹם	'ayom
0367	אֵימָה	'eymah
0368	אֵימִים	'Eymiym
0369	אַיִן	'ayin
0370	אַיִן	'aiyn
0371	אִין	'iyn
0372	אִיעֶזֶר	'Iy`ezer
0373	אִיעֶזְרִי	'Iy`ezriy
0374	אֵיפָה	'eyphah
0375	אֵיפֹה	'eyphoh
0376	אִישׁ	'iysh
0377	אִישׁ	'iysh
0378	אִישׁ־בֹּשֶׁת	'Iysh-Bosheth
0379	אִישׁהוֹד	'Iyshhowd
0380	אִישׁוֹן	'iyshown
0381	אִישׁ־חַיִל	'Iysh-Chayil
0382	אִישׁ־טוֹב	'Iysh-Towb
0383	יִתַי	'iythay
0384	אִיתִיאֵל	'Iythiy'el
0385	אִיתָמָר	'Iythamar
0386	אֵיתָן	'eythan
0387	אֵיתָן	'Eythan
0388	אֵתָנִים	'Eythaniym
0389	אַךְ	'ak
0390	אַכַּד	'Akkad
0391	אַכְזָב	'akzab
0392	אַכְזִיב	'Akziyb
0393	אַכְזָר	'akzar
0394	אַכְזָרִי	'akzariy
0395	אַכְזְרִיּוּת	'akz@riyuwth
0396	אֲכִילָה	'akiylah
0397	אָכִישׁ	'Akiysh
0398	אָכַל	'akal
0399	אַכַל	'akal
0400	אֹכֶל	'okel
0401	אֻכָל	'Ukal
0402	אָכְלָה	'oklah
0403	אָכֵן	'aken
0404	אָכַף	'akaph
0405	אֶכֶף	'ekeph
0406	אִכָּר	'ikkar
0407	אַכְשָׁף	'Akshaph
0408	אַל	'al
0409	אַל	'al
0410	אֵל	'el
0411	אֶל	'el
0412	אֵל	'el
0413	אֵל	'el
0414	אֵלָא	'Ela'
