# strongs	hebrew	transliteration
4312	מֵידָד	Meydad
4313	מֵי	<A CLASS="u">&#x05D4;&#x05B7;&#x05D9;&#x05BC;&#x05B7;&#x05E8;&#x05B0;&#x05E7;&#xFB4B;&#x05DF;</A> Mey hay-Yarqown
4314	מֵי	<A CLASS="u">&#x05D6;&#x05B8;&#x05D4;&#x05B8;&#x05D1;</A> Mey Zahab
4315	מֵיטָב	meytab
4316	מִיכָא	Miyka'
4317	מִיכָאֵל	Miyka'el
4318	מִיכָה	Miykah
4319	מִיכָיְהוּ	Miykahuw
4320	מִיכָיָה	Miykayah
4321	מִיכָיְהוּ	Miykay@huw
4322	מִיכָיָהוּ	Miykayahuw
4323	מִיכָל	miykal
4324	מִיכַל	Miykal
4325	מַיִם	mayim
4326	מִיָּמִן	Miyamin
4327	מִין	miyn
4328	מְיֻסְּדָה	m@yuccadah
4329	מוּסָךְ	meycak
4330	מִיץ	miyts
4331	מֵישָׁא	Meysha'
4332	מִישָׁאֵל	Miysha'el
4333	מִישָׁאֵל	Miysha'el
4334	מִישׁוֹר	miyshowr
4335	מֵישַׁךְ	Meyshak
4336	מֵישַׁךְ	Meyshak
4337	מֵישָׁע	Meysha`
4338	מֵישַׁע	Meysha`
4339	מֵישָׁר	meyshar
4340	מֵיתָר	meythar
4341	מַכְאֹב	mak'ob
4342	מַכְבִּיר	makbiyr
4343	מַכְבֵּנָה	Makbena'
4344	מַכְבַּנַּי	Makbannay
4345	מִכְבָּר	makber
4346	מַכְבָּר	makbar
4347	מַכָּה	makkah
4348	מִכְוָה	mikvah
4349	מָכוֹן	makown
4350	מְכוֹנָה	m@kownah
4351	מְכוּרָה	m@kuwrah
4352	מָכִי	Makiy
4353	מָכִיר	Makiyr
4354	מָכִירִי	Makiyriy
4355	מָכַךְ	makak
4356	מִכְלָה	mikla'ah
4357	מִכְלָה	miklah
4358	מִכְלוֹל	miklowl
4359	מִכְלָל	miklal
4360	מִכְלֻל	miklul
4361	מַכֹּלֶת	makkoleth
4362	מִכְּמָן	mikman
4363	מִכְמָס	Mikmac (Ezra 2:27, Neh. 7:31)
4364	מַכְמוֹר	makmar
4365	מִכְמֶרֶת	mikmereth
4366	מִכְמְתָת	Mikm@thath
4367	מַכְנַדְבַי	Maknadbay
4368	מְכוֹנָה	M@konah
4369	מְכוּנָה	m@kunah
4370	מִכְנָס	miknac
4371	מֶכֶס	mekec
4372	מִכְסֶה	mikceh
4373	מִכְסָה	mikcah
4374	מְכַסֶּה	m@kacceh
4375	מַכְפֵּלָה	Makpelah
4376	מָכַר	makar
4377	מֶכֶר	meker
4378	מַכָּר	makkar
4379	מִכְרֶה	mikreh
4380	מְכֵרָה	m@kerah
4381	מִכְרִי	Mikriy
4382	מְכֵרָתִי	M@kerathiy
4383	מִכְשׁוֹל	mikshowl
4384	מַכְשֵׁלָה	makshelah
4385	מִכְתָּב	miktab
4386	מְכִתָּה	m@kittah
4387	מִכְתָּם	miktam
4388	מַכְתֵּשׁ	maktesh
4389	מַכְתֵּשׁ	Maktesh
4390	מָלֵא	male'
4391	מְלַא	m@la'
4392	מָלֵא	male'
4393	מְלֹא	m@lo'
4394	מִלּוּא	millu'
4395	מְלֵאָה	m@le'ah
4396	מִלֻּאָה	millu'ah
4397	מַלְאָךְ	mal'ak
4398	מַלְאַךְ	mal'ak
4399	מְלָאכָה	m@la'kah
4400	מַלְאֲכוּת	mal'akuwth
4401	מַלְאָכִי	Mal`akiy
4402	מִלֵּאת	mille'th
4403	מַלְבּוּשׁ	malbuwsh
4404	מַלְבֵּן	malben
4405	מִלָּה	millah
4406	מִלָּה	millah
4407	מִלּוֹא	millow'
4408	מַלּוּחַ	malluwach
4409	מַלּוּךְ	Malluwk
4410	מְלוּכָה	m@luwkah
4411	מָלוֹן	malown
4412	מְלוּנָה	m@luwnah
4413	מַלּוֹתִי	Mallowthiy
4414	מלח	malach
4415	מְלַח	m@lach
4416	מְלַח	m@lach
4417	מֶּלַח	melach
4418	מָלָח	malach
4419	מַלָּח	mallach
4420	מְלֵחָה	m@lechah
4421	מִלְחָמָה	milchamah
4422	מָלַט	malat
4423	מֶלֶט	melet
4424	מְלַטְיָה	M@latyah
4425	מְלִילָה	m@liylah
4426	מְלִיצָה	m@liytsah
4427	מָלַךְ	malak
4428	מֶּלֶךְ	melek
4429	מֶּלֶךְ	Melek
4430	מֶּלֶךְ	melek
4431	מְלַךְ	m@lak
4432	מֹלֶךְ	Molek
4433	מַלְכָּא	malka'
4434	מַלְכֹּדֶת	malkodeth
4435	מִלְכָּה	Milkah
4436	מַלְכָּה	malkah
4437	מַלְכּוּ	malkuw
4438	מַלְכוּת	malkuwth
4439	מַלְכִּיאֵל	Malkiy'el
4440	מַלְכִּיאֵלִי	Malkiy'eliy
4441	מַלְכִּיָּה	Malkiyah
4442	מַלְכִּי־צֶדֶק	Malkiy-Tsedeq
4443	מַלְכִּירָם	Malkiyram
4444	מַלְכִּי־שׁוּעַ	Malkiyshuwa`
4445	מַלְכָּם	Malkam
4446	מְלֶכֶת	m@leketh
4447	מֹלֶכֶת	Moleketh
4448	מָלַל	malal
4449	מְלַל	m@lal
4450	מִלֲלַי	Milalay
4451	מַלְמַד	malmad
4452	מָלַץ	malats
4453	מֶלְצַר	meltsar
4454	מָלַק	malaq
4455	מַלְקוֹחַ	malqowach
4456	מַלְקוֹשׁ	malqowsh
4457	מֶלְקָח	melqach
4458	מֶלְתָּחָה	meltachah
4459	מַלְתָּעָה	malta`ah
4460	מַמְּגוּרָה	mamm@gurah
4461	מֵמַד	memad
4462	מְמוּכָן	M@muwkan
4463	מָמוֹת	mamowth
4464	מַמְזֵר	mamzer
4465	מִמְכָּר	mimkar
4466	מִמְכֶּרֶת	mimkereth
4467	מַמְלָכָה	mamlakah
4468	מַמְלְכוּת	mamlakuwth
4469	מִמְסָךְ	mamcak
4470	מֶמֶר	memer
4471	מַמְרֵא	Mamre'
4472	מַמְּרֹר	mamror
4473	מִמְשָׁח	mimshach
4474	מִמְשָׁל	mimshal
4475	מֶמְשָׁלָה	memshalah
4476	מִמְשָׁק	mimshaq
4477	מַמְתַק	mamtaq
4478	מָן	man
4479	מַן	man
4480	מִן	min
4481	מִן	min
4482	מֵן	men
4483	מְנָא	m@na'
4484	מְנֵא	mene'
4485	מַנְגִּינָה	mangiynah
4486	מַנְדַּע	manda`
4487	מָנַה	manah
4488	מָנֶה	maneh
4489	מֹנֶה	moneh
4490	מָנָה	manah
4491	מִנְהָג	minhag
4492	מִנְהָרָה	minharah
4493	מָנוֹד	manowd
4494	מָנוֹחַ	manowach
4495	מָנוֹחַ	Manowach
4496	מְנוּחָה	m@nuwchah
4497	מָנוֹן	manown
4498	מָנוֹס	manowc
4499	מְנוּסָה	m@nuwcah
4500	מָנוֹר	manowr
4501	מְנוֹרָה	m@nowrah
4502	מִנְזָר	minn@zar
4503	מִנְחָה	minchah
4504	מִנְחָה	minchah
4505	מְנַחֵם	M@nachem
4506	מָנַחַת	Manachath
4507	מְנִי	M@niy
4508	מִנִּי	Minniy
4509	מִנְיָמִן	Minyamiyn
4510	מִנְיָן	minyan
4511	מִנִּית	Minniyth
4512	מִנְלֶה	minleh
4513	מָנַע	mana`
4514	מַנְעוּל	man`uwl
4515	מִנְעָל	man`al
4516	מַנְעָם	man`am
4517	מְנַעְנַע	m@na`na`
4518	מְנַקִּית	m@naqqiyth
4519	מְנַשֶּׁה	M@nashsheh
4520	מְנַשִּׁי	M@nashshiy
4521	מְנָת	m@nath
4522	מַס	mac
4523	מָס	mac
4524	מֵסַב	mecab
4525	מַסְגֵּר	macger
4526	מִסְגֶּרֶת	micgereth
4527	מַסָּד	maccad
4528	מִסְדְּרוֹן	micd@rown
4529	מָסָה	macah
4530	מִסָּה	miccah
4531	מַסָּה	maccah
4532	מִסָּה	Maccah
4533	מַסְוֶה	macveh
4534	מְסוּכָה	m@cuwkah
4535	מַסָּח	maccach
4536	מִסְחָר	micchar
4537	מסךְ	macak
4538	מֶסֶךְ	mecek
4539	מָסָךְ	macak
4540	מְסוּכָה	m@cukkah
4541	מַסֵּכָה	maccekah
4542	מִסְכֵּן	micken
4543	מִסְכְּנָה	mick@nah
4544	מִסְכֵּנֻת	mickenuth
4545	מַסֶּכֶת	macceketh
4546	מְסִלָּה	m@cillah
4547	מַסְלוּל	macluwl
4548	מַסְמֵר	macmer
4549	מָסַס	macac
4550	מַסַּע	macca`
4551	מַסָּע	macca`
4552	מִסְעָד	mic`ad
4553	מִסְפֵּד	micepd
4554	מִסְפּוֹא	micpow'
4555	מִסְפָּחָה	micpachah
4556	מִסְפַּחַת	micpachath
4557	מִסְפָּר	micpar
4558	מִסְפָּר	Micpar
4559	מִסְפֶּרֶת	Micpereth
4560	מָסַר	macar
4561	מוֹסָר	mocar
4562	מָסֹרֶת	macoreth
4563	מִסְתּוֹר	mictowr
4564	מַסְתֵּר	macter
4565	מִסְתָּר	mictar
4566	מַעְבָּד	ma`bad
4567	מַעֲבַד	ma`bad
4568	מַעֲבֶה	ma`abeh
4569	מַעַבָּר	ma`abar
4570	מַעְגָּל	ma`gal
4571	מָעַד	ma`ad
4572	מַעֲדַי	Ma`aday
4573	מַעַדְיָה	Ma`adyah
4574	מַעֲדָן	ma`adan
4575	מַעֲדַנָּה	ma`adannah
4576	מַעְדֵּר	ma`der
4577	מְעַה	m@`ah
4578	מֵעָה	me`ah
4579	מֵעָה	me`ah
4580	מָעוֹג	ma`owg
4581	מָעוֹז	ma`owz
4582	מָעוֹךְ	Ma`owk
4583	מָעוֹן	ma`own
4584	מָעוֹן	Ma`own
4585	מְעוֹנָה	m@`ownah
4586	מְעוּנִי	M@`uwniy
4587	מְעוֹנֹתַי	M@`ownothay
4588	מָעוּף	ma`uwph
4589	מָעוֹר	ma`owr
4590	מַעַזְיָה	Ma`azyah
4591	מָעַט	ma`at
4592	מְעַט	m@`at
4593	מָעֹט	ma`ot
4594	מַעֲטֶה	ma`ateh
4595	מַעֲטֶפֶת	ma`ataphah
4596	מְעִי	m@`iy
4597	מָעַי	Ma`ai
4598	מְעִיל	m@`iyl
4599	מַעְיָן	ma`yan
4600	מעךְ	ma`ak
4601	מַעֲכָה	Ma`akah
4602	מַעֲכָתִי	Ma`akathiy
4603	מָעַל	ma`al
4604	מַעַל	ma`al
4605	מַעַל	ma`al
4606	מֶעָל	me`al
4607	מֹעַל	mo`al
4608	מַעֲלֶה	ma`aleh
4609	מַעֲלָה	ma`alah
4610	מַעֲלֵה	<A CLASS="u">&#x05E2;&#x05B7;&#x05E7;&#x05B0;&#x05E8;&#x05B7;&#x05D1;&#x05BC;&#x05B4;&#x05D9;&#x05DD;</A> Ma`aleh `Aqrabbiym
4611	מַעֲלָל	ma`alal
4612	מַעֲמָד	ma`amad
4613	מָעֳמָד	mo`omad
4614	מַעֲמָסָה	ma`amacah
4615	מַעֲמָק	ma`amaq
4616	לְמַעַן	ma`an
4617	מַעֲנֶה	ma`aneh
4618	מַעֲנָה	ma`anah
4619	מַעַץ	Ma`ats
4620	מַעֲצֵבָה	ma`atsebah
4621	מַעֲצָד	ma`atsad
4622	מַעֲצוֹר	ma`tsowr
4623	מַעְצָר	ma`tsar
4624	מַעֲקֶה	ma`aqeh
4625	מַעֲקָשׁ	ma`aqash
4626	מַעַר	ma`ar
4627	מַעֲרָב	ma`arab
4628	מַעֲרָב	ma`arab
4629	מַעֲרֶה	ma`areh
4630	מְעָרָה	ma`arah
4631	מְעָרָה	m@`arah
4632	מְעָרָה	M@`arah
4633	מַעֲרָךְ	ma`arak
4634	מַעֲרָכָה	ma`arakah
4635	מַעֲרֶכֶת	ma`areketh
4636	מַעֲרֹם	ma`arom
4637	מַעֲרָצָה	ma`aratsah
4638	מַעֲרָת	Ma`arath
4639	מַעֲשֶׂה	ma`aseh
4640	מַעְשַׂי	Ma`say
4641	מַעֲשֵׂיָה	Ma`aseyah
4642	מַעֲשַׁקָּה	ma`ashaqqah
4643	מַעֲשֵׂר	ma`aser
4644	מֹף	Moph
4645	מִפְגָּע	miphga`
4646	מַפָּח	mappach
4647	מַפּוּחַ	mappuach
4648	מְפִיבֹשֶׁת	M@phiybosheth
4649	מֻפִּים	Muppiym
4650	מֵפִיץ	mephiyts
4651	מַפָּל	mappal
4652	מִפְלָאָה	miphla'ah
4653	מִפְלַגָּה	miphlaggah
4654	מַפָּלָה	mappalah
4655	מִפְלָט	miphlat
4656	מִפְלֶצֶת	miphletseth
4657	מִפְלָשׂ	miphlas
4658	מַפֶּלֶת	mappeleth
4659	מִפְעָל	miph`al
4660	מַפָּץ	mappats
4661	מַפֵּץ	mappets
4662	מִפְקָד	miphqad
4663	מִפְקָד	Miphqad
4664	מִפְרָץ	miphrats
4665	מַפְרֶקֶת	miphreketh
4666	מִפְרָשׂ	miphras
4667	מִפְשָׂעָה	miphsa`ah
4668	מַפְתֵּחַ	maphteach
4669	מִפְתָּח	miphtach
4670	מִפְתָּן	miphtan
4671	מוֹץ	mots
4672	מָצָא	matsa'
4673	מַצָּב	matstsab
4674	מֻצָּב	mutstsab
4675	מַצָּבָה	matstsabah
4676	מַצֵּבָה	matstsebah
4677	מְצֹבָיָה	M@tsobayah
4678	מַצֶּבֶת	matstsebeth
4679	מְצַד	m@tsad
4680	מָצָה	matsah
4681	מֹצָה	Motsah
4682	מַצָּה	matstsah
4683	מַצָּה	matstsah
4684	מִצְהָלָה	matshalah
4685	מָצוֹד	matsowd
4686	מָצוּד	matsuwd
4687	מִצְוָה	mitsvah
4688	מְצוֹלָה	m@tsowlah
4689	מָצוֹק	matsowq
4690	מָצוּק	matsuwq
4691	מְצוּקָה	m@tsuwqah
4692	מָצוֹר	matsowr
4693	מָצוֹר	matsowr
4694	מְצוּרָה	m@tsuwrah
4695	מַצּוּת	matstsuwth
4696	מֵצַח	metsach
4697	מִצְחָה	mitschah
4698	מְצִלָּה	m@tsillah
4699	מְצוֹלָה	m@tsullah
4700	מְצֶלֶת	m@tseleth
4701	מִצְנֶפֶת	mitsnepheth
4702	מַצָּע	matstsa`
4703	מִצְעָד	mits`ad
4704	מִצְּעִירָה	mitsts@`iyrah
4705	מִצְעָר	mits`ar
4706	מִצְעָר	Mits`ar
4707	מִצְפֶּה	mitspeh
4708	מִצְפֶּה	Mitspeh
4709	מִצְפָּה	Mitspah
4710	מַצְפּוּן	mitspun
4711	מצץ	matsats
4712	מֵצַר	metsar
4713	מִצְרִי	Mitsriy
4714	מִצְרַיִם	Mitsrayim
4715	מַצְרֵף	mitsreph
4716	מָק	maq
4717	מַקֶּבֶת	maqqabah
4718	מַקֶּבֶת	maqqebeth
4719	מַקֵּדָה	Maqqedah
4720	מִקְדָּשׁ	miqdash
4721	מַקְהֵל	maqhel
4722	מַקְהֵלֹת	Maqheloth
4723	מִקְוֶה	miqveh
4724	מִקְוָה	miqvah
4725	מָקוֹם	maqowm
4726	מָקוֹר	maqowr
4727	מִקָּח	miqqach
4728	מַקָּחָה	maqqachah
4729	מִקְטָר	miqtar
4730	מִקְטֶרֶת	miqtereth
4731	מַקֵּל	maqqel
4732	מִקְלוֹת	Miqlowth
4733	מִקְלָט	miqlat
4734	מִקְלַעַת	miqla`ath
4735	מִקְנֶה	miqneh
4736	מִקְנָה	miqnah
4737	מִקְנֵיָהוּ	Miqneyahuw
4738	מִקְסָם	miqcam
4739	מָקַץ	Maqats
4740	מִקְצוֹעַ	maqtsowa`
4741	מַקְצוּעָה	maqtsu`ah
4742	מְקֻצְעָה	m@quts`ah
4743	מָקַק	maqaq
4744	מִקְרָא	miqra'
4745	מִקְרֶה	miqreh
4746	מְקָרֶה	m@qareh
4747	מְקֵרָה	m@qerah
4748	מִקְשֶׁה	miqsheh
4749	מִקְשָׁה	miqshah
4750	מִקְשָׁה	miqshah
4751	מַר	mar
4752	מַר	mar
4753	מֹר	more
4754	מָרַא	mara'
4755	מָרָא	Mara'
4756	מָרֵא	mare'
4757	מְרֹדַךְ	<A CLASS="u">&#x05D1;&#x05BC;&#x05B7;&#x05DC;&#x05B0;&#x05D0;&#x05B2;&#x05D3;&#x05B8;&#x05DF;</A> M@ro'dak Bal'adan
4758	מַרְאֶה	mar'eh
4759	מַרְאָה	mar'ah
4760	מֻרְאָה	mur'ah
4761	מְרַאֲשָׁה	mar'ashah
4762	מָרֵאשָׁה	Mar'eshah
4763	מְרַאֲשָׁה	m@ra'ashah
4764	מֵרַב	Merab
4765	מַרְבָד	marbad
4766	מַרְבֶּה	marbeh
4767	מִרְבָּה	mirbah
4768	מַרְבִּית	marbiyth
4769	מַרְבֵּץ	marbets
4770	מַרְבֵּק	marbeq
4771	מַרְגּוֹעַ	margowa`
4772	מַרְגְּלָה	marg@lah
4773	מַרְגֵּמָה	margemah
4774	מַרְגֵּעָה	marge`ah
4775	מָרַד	marad
4776	מְרַד	m@rad
4777	מֶרֶד	mered
4778	מֶרֶד	Mered
4779	מָרָד	marad
4780	מַרְדּוּת	marduwth
4781	מְרֹדָךְ	M@rodak
4782	מָרְדֳּכַי	Mord@kay
4783	מֻרְדָּף	murdaph
4784	מָרָה	marah
4785	מָרָה	Marah
4786	מֹרָה	morah
4787	מָרָּה	morrah
4788	מָרוּד	maruwd
4789	מֵרוֹז	Merowz
4790	מָרוֹחַ	m@rowach
4791	מָרוֹם	marowm
4792	מֵרוֹם	Merowm
4793	מֵרוֹץ	merowts
4794	מְרוּצָה	m@ruwtsah
4795	מָרוּק	maruwq
4796	מָרוֹת	Marowth
4797	מִרְזַח	mirzach
4798	מַרְזֵחַ	marzeach
4799	מָרַח	marach
4800	מֶרְחָב	merchab
4801	מֶרְחָק	merchaq
4802	מַרְחֶשֶׁת	marchesheth
4803	מָרַט	marat
4804	מְרַט	m@rat
4805	מְרִי	m@riy
4806	מְרִיא	m@riy'
4807	מְרִיב־בַּעַל	M@riyb Ba`al
4808	מְרִיבָה	m@riybah
4809	מְרִיבָה	M@riybah
4810	מְרִי־בַעַל	M@riy Ba`al
4811	מְרָיָה	M@rayah
4812	מְרָיוֹת	M@rayowth
4813	מִרְיָם	Miryam
4814	מְרִירוּת	m@riyruwth
4815	מְרִירִי	m@riyriy
4816	מֹרֶךְ	morek
4817	מֶרְכָּב	merkab
4818	מֶרְכָּבָה	merkabah
4819	מַרְכֹּלֶת	markoleth
4820	מִרְמָה	mirmah
4821	מִרְמָה	Mirmah
4822	מְרֵמוֹת	M@remowth
4823	מִרְמָס	mirmac
4824	מֵרֹנֹתִי	Meronothiy
4825	מֶרֶס	Merec
4826	מַרְסְנָא	Marc@na'
4827	מֵרָע	mera`
4828	מֵרֵעַ	merea`
4829	מִרְעֶה	mir`eh
4830	מַרְעִית	mir`iyth
4831	מַרְעֲלָה	Mar`alah
4832	מַרְפֵּא	marpe'
4833	מִרְפָּשׂ	mirpas
4834	מָרַץ	marats
4835	מְרוּצָה	m@rutsah
4836	מַרְצֵעַ	martsea`
4837	מַרְצֶפֶת	martsepheth
4838	מרק	maraq
4839	מָרַק	maraq
4840	מֶרְקָח	merqach
4841	מֶרְקָחָה	merqachah
4842	מִרְקַחַת	mirqachath
4843	מָרַר	marar
4844	מְרֹר	m@ror
4845	מְרֵרָה	m@rerah
4846	מָרֹרָה	m@rorah
4847	מְרָרִי	M@rariy
4848	מְרָרִי	M@rariy
4849	מִרְשַׁעַת	mirsha`ath
4850	מְרָתַיִם	M@rathayim
4851	מַשׁ	Mash
4852	מֵשָׁא	Mesha'
4853	מַשָּׂא	massa'
4854	מַשָּׂא	Massa'
4855	מַשָּׁא	mashsha'
4856	מַשֹּׂא	masso'
4857	מַשְׁאָב	mash'ab
4858	מַשָּׂאָה	massa'ah
4859	מַשָּׁאָה	mashsha'ah
4860	מַשָּׁאוֹן	mashsha'own
4861	מִשְׁאָל	Mish'al
4862	מִשְׁאָלָה	mish'alah
4863	מִשְׁאֶרֶת	mish'ereth
4864	מַשְׂאֵת	mas'eth
4865	מִשְׁבְּצָה	mishb@tsah
4866	מַשְׁבֵּר	mishber
4867	מִשְׁבָּר	mishbar
4868	מִשְׁבָּת	mishbath
4869	מִשְׂגָּב	misgab
4870	מִשְׁגֶּה	mishgeh
4871	מָשָׁה	mashah
4872	מֹשֶׁה	Mosheh
4873	מֹשֶׁה	Mosheh
4874	מַשֶּׁה	mashsheh
4875	מְשׁוֹאָה	m@show'ah
4876	מַשּׁוּאָה	masshuw'ah
4877	מְשׁוֹבָב	M@showbab
4878	מְשׁוּבָה	m@shuwbah
4879	מְשׁוּגָה	m@shuwgah
4880	מָשׁוֹט	mashowt
4881	מְשׂוּכָּה	m@suwkah
4882	מְשִׁסָּה	m@shuwcah
4883	מַשּׂוֹר	massowr
4884	מְשׂוּרָה	m@suwrah
4885	מָשׂוֹשׂ	masows
4886	משׁח	mashach
4887	מְשַׁח	m@shach
4888	מָשְׁחָה	mishchah
4889	מַשְׁחִית	mashchiyth
4890	מִשְׂחָק	mischaq
4891	מִשְׁחָר	mishchar
4892	מַשְׁחֵת	mashcheth
4893	מִשְׁחָת	mishchath
4894	מִשְׁטוֹחַ	mishtowach
4895	מַשְׂטֵמָה	mastemah
4896	מִשְׁטָר	mishtar
4897	מֶשִׁי	meshiy
4898	מְשֵׁיזַבְאֵל	M@sheyzab'el
4899	מָשִׁיחַ	mashiyach
4900	משׁךְ	mashak
4901	מֶשֶׁךְ	meshek
4902	מֶשֶׁךְ	Meshek
4903	מִשְׁכַּב	mishkab
4904	מִשְׁכָּב	mishkab
4905	מַשְׂכִּיל	maskiyl
4906	מַשְׂכִּית	maskiyth
4907	מִשְׁכַּן	mishkan
4908	מִשְׁכָּן	mishkan
4909	מַשְׂכֹּרֶת	maskoreth
4910	מָשַׁל	mashal
4911	מָשַׁל	mashal
4912	מָשָׁל	mashal
4913	מָשָׁל	Mashal
4914	מְשׁוּל	m@showl
4915	מֹשֶׁל	moshel
4916	מִשְׁלוֹחַ	mishlowach
4917	מִשְׁלַחַת	mishlachath
4918	מְשֻׁלָּם	M@shullam
4919	מְשִׁלֵּמוֹת	M@shillemowth
4920	מְשֶׁלֶמְיָהוּ	M@shelemyah
4921	מְשִׁלֵּמִית	M@shillemiyth
4922	מְשֻׁלֶּמֶת	M@shullemeth
4923	מְשַׁמָּה	m@shammah
4924	מִשְׁמָן	mashman
4925	מִשְׁמַנָּה	Mishmannah
4926	מִשְׁמָע	mishma`
4927	מִשְׁמָע	Mishma`
4928	מִשְׁמַעַת	mishma`ath
4929	מִשְׁמָר	mishmar
4930	מַשְׂמֵר	masm@rah
4931	מִשְׁמֶרֶת	mishmereth
4932	מִשְׁנֶה	mishneh
4933	מְשִׁסָּה	m@chiccah
4934	מִשְׁעוֹל	mish`owl
4935	מִשְׁעִי	mish`iy
4936	מִשְׁעָם	Mish`am
4937	מִשְׁעֵן	mish`en
4938	מִשְׁעֵנָה	mish`enah
4939	מִשְׂפָּח	mispach
4940	מִשְׁפָּחָה	mishpachah
4941	מִשְׁפָּט	mishpat
4942	מִשְׁפָּת	mishpath
4943	מֶשֶׁק	mesheq
4944	מַשָּׁק	mashshaq
4945	מַשְׁקֶה	mashqeh
4946	מִשְׁקוֹל	mishqowl
4947	מַשְׁקוֹף	mashqowph
4948	מִשְׁקָל	mishqal
4949	מִשְׁקֶלֶת	mishqeleth
4950	מִשְׁקָע	mishqa`
4951	מִשְׂרָה	misrah
4952	מִשְׁרָה	mishrah
4953	מַשְׁרוֹקִי	mashrowqiy
4954	מִשְׁרָעִי	Mishra`iy
4955	מִשְׂרֶפֶת	misraphah
4956	מִשְׂרְפֹת	<A CLASS="u">&#x05DE;&#x05B7;&#x05D9;&#x05B4;&#x05DD;</A> Misr@phowth mayim
4957	מַשְׂרֵקָה	Masreqah
4958	מַשְׂרֵת	masreth
4959	משׁשׁ	mashash
4960	מִשְׁתֶּה	mishteh
4961	מִשְׁתַּי	mishteh
4962	מַת	math
4963	מַתְבֵּן	mathben
4964	מֶתֶג	metheg
4965	מֶתֶג	<A CLASS="u">&#x05D4;&#x05B8;&#x05D0;&#x05B7;&#x05DE;&#x05BC;&#x05B8;&#x05D4;</A> Metheg ha-'Ammah
4966	מָתוֹק	mathowq
4967	מְתוּשָׁאֵל	M@thuwsha'el
4968	מְתוּשֶׁלַח	M@thuwshelach
4969	מָתַח	mathach
4970	מָתַי	mathay
4971	מַתְכֹּנֶת	mathkoneth
4972	מַתְּלָאָה	matt@la'ah
4973	מְתַלְּעָה	m@thall@`ah
4974	מְתֹם	m@thom
4975	מָתֶן	mothen
4976	מַתָּן	mattan
4977	מַתָּן	Mattan
4978	מַתְּנָא	matt@na'
4979	מַתָּנָה	mattanah
4980	מַתָּנָה	Mattanah
4981	מִתְנִי	Mithniy
4982	מַתְּנַי	Matt@nay
4983	מַתַּנְיָה	Mattanyah
4984	מִתְנַשֵּׂא	mithnasse'
4985	מָתַק	mathaq
4986	מֶתֶק	metheq
4987	מֹתֶק	motheq
4988	מָתָק	mathaq
4989	מִתְקָה	Mithqah
4990	מִתְרְדָת	Mithr@dath
4991	מַתָּת	mattath
4992	מַתַּתָּה	Mattattah
4993	מַתִּתְיָה	Mattithyah
4994	נָא	na'
4995	נָא	na'
4996	נֹא	No'
4997	נֹאד	no'd
4998	נָאָה	na'ah
4999	נָאָה	na'ah
5000	נָאוֶה	na'veh
5001	נָאַם	na'am
5002	נְאֻם	n@'um
5003	נָאַף	na'aph
5004	נִאוּף	ni'uph
5005	נַאֲפוּף	na'aphuwph
5006	נָאַץ	na'ats
5007	נְאָצָה	n@'atsah
5008	נָאַק	na'aq
5009	נְאָקָה	n@'aqah
5010	נָאַר	na'ar
5011	נֹב	Nob
5012	נָבָא	naba'
5013	נְבִיא	n@ba'
5014	נָבוּב	nabab
5015	נְבוֹ	N@bow
5016	נְבוּאָה	n@buw'ah
5017	נָבוּאָה	n@buw'ah
5018	נְבוּזַרְאֲדָן	N@buwzaradan
5019	נְבוּכַדְנֶאצַּר	N@buwkadne'tstsar
5020	נְבוּכַדְרֶאצַּר	N@buwkadnetstsar
5021	נְבוּשַׁזְבָּן	N@buwshazban
5022	נָבוֹת	Nabowth
5023	נְבִזְבָּה	n@bizbah
5024	נָבַח	nabach
5025	נֹבַח	Nobach
5026	נִבְחַז	Nibchaz
5027	נָבַט	nabat
5028	נְבָט	N@bat
5029	נְבִיא	n@biy'
5030	נָבִיא	nabiy'
5031	נְבִיאָה	n@biy'ah
5032	נְבָיוֹת	N@bayowth
5033	נֵבֶךְ	nebek
5034	נָבֵל	nabel
5035	נֶבֶל	nebel
5036	נָבָל	nabal
5037	נָבָל	Nabal
5038	נְבֵלָה	n@belah
5039	נְבָלָה	n@balah
5040	נַבְלוּת	nabluwth
5041	נְבַלָּט	N@ballat
5042	נבע	naba`
5043	נֶבְרְשָׁה	nebr@sha'
5044	נִבְשָׁן	Nibshan
5045	נֶגֶב	negeb
5046	נָגַד	nagad
5047	נְגַד	n@gad
5048	נֶגֶד	neged
5049	נֶגֶד	neged
5050	נָגַה	nagahh
5051	נֹגַהּ	nogahh
5052	נֹגַהּ	Nogahh
5053	נְגַהּ	nogahh
5054	נְגֹהַהּ	n@gohah
5055	נָגַח	nagach
5056	נַגָּח	naggach
5057	נָגִיד	nagiyd
5058	נְגִינָה	n@giynah
5059	נגן	nagan
5060	נגע	naga`
5061	נֶגַע	nega`
5062	נגף	nagaph
5063	נֶגֶף	negeph
5064	נגר	nagar
5065	נגשׂ	nagas
5066	נגשׁ	nagash
5067	נֵד	ned
5068	נָדַב	nadab
5069	נְדַב	n@dab
5070	נָדָב	Nadab
5071	נְדָבָה	n@dabah
5072	נְדַבְיָה	N@dabyah
5073	נִדְבָּךְ	nidbak
5074	נָדַד	nadad
5075	נְדַד	n@dad
5076	נָדוּד	nadud
5077	נָדָה	nadah
